Zipcode,company_count,percentage
3793,43,0.0
6692,43,0.0
75019,43,0.0
98000,43,0.0
W1G9QR,43,0.0
3501,42,0.0
52070,42,0.0
6531,42,0.0
6674,42,0.0
6832,42,0.0
6982,42,0.0
7191,42,0.0
9403,42,0.0
20457,41,0.0
59223,41,0.0
75020,41,0.0
8832,41,0.0
08600,40,0.0
1855,40,0.0
52078,40,0.0
5332,40,0.0
7031,40,0.0
8957,40,0.0
DN6 8DD,40,0.0
XX,40,0.0
1010,39,0.0
1110,39,0.0
1204,39,0.0
4254,39,0.0
5541,39,0.0
6223,39,0.0
7024,39,0.0
7502,39,0.0
7623,39,0.0
3895,38,0.0
4959,38,0.0
5544,38,0.0
8069,38,0.0
8952,38,0.0
000,37,0.0
4453,37,0.0
5352,37,0.0
59600,37,0.0
6922,37,0.0
7611,37,0.0
7803,37,0.0
2163,36,0.0
5374,36,0.0
59290,36,0.0
6838,36,0.0
69003,36,0.0
7382,36,0.0
00,35,0.0
4161,35,0.0
5646,35,0.0
6824,35,0.0
9661,35,0.0
75004,34,0.0
4162,33,0.0
75005,33,0.0
8583,33,0.0
5333,32,0.0
59170,32,0.0
6542,32,0.0
6821,32,0.0
6831,32,0.0
xxx,32,0.0
0999,31,0.0
1882,31,0.0
3372,31,0.0
40549,31,0.0
4983,31,0.0
5563,31,0.0
7862,31,0.0
8308,31,0.0
92230,31,0.0
DN68,31,0.0
20121,30,0.0
4181,30,0.0
5376,30,0.0
5543,30,0.0
59150,30,0.0
6782,30,0.0
52068,29,0.0
6222,29,0.0
6543,29,0.0
6823,29,0.0
6856,29,0.0
7506,29,0.0
93100,29,0.0
3012CN,28,0.0
59410,28,0.0
6441,28,0.0
69002,28,0.0
7941,28,0.0
84110,28,0.0
92150,28,0.0
9571,28,0.0
9964,28,0.0
BA4 5QE,28,0.0
N22 8HH,28,0.0
28001,27,0.0
3746,27,0.0
51100,27,0.0
52076,27,0.0
5564,27,0.0
59250,27,0.0
6812,27,0.0
69007,27,0.0
6921,27,0.0
8009,27,0.0
1201,26,0.0
54400,26,0.0
5523,26,0.0
7641,26,0.0
7951,26,0.0
9490,26,0.0
DN6 7UW,26,0.0
L-1855,26,0.0
1101 CM,25,0.0
1526,25,0.0
1931,25,0.0
1941,25,0.0
34000,25,0.0
3732,25,0.0
3791,25,0.0
51530,25,0.0
59230,25,0.0
59570,25,0.0
6951,25,0.0
7942,25,0.0
93200,25,0.0
9753,25,0.0
W1S 1YH,25,0.0
X,25,0.0
1660,24,0.0
20122,24,0.0
51480,24,0.0
59110,24,0.0
59320,24,0.0
59390,24,0.0
6681,24,0.0
6972,24,0.0
8010,24,0.0
8437,24,0.0
1077 XX,23,0.0
20354,23,0.0
5542,23,0.0
59115,23,0.0
59260,23,0.0
59910,23,0.0
65760,23,0.0
68420,23,0.0
69006,23,0.0
8077,23,0.0
02100,22,0.0
1611,22,0.0
20124,22,0.0
28006,22,0.0
33330,22,0.0
52066,22,0.0
5354,22,0.0
54000,22,0.0
5571,22,0.0
5641,22,0.0
59163,22,0.0
6811,22,0.0
7621,22,0.0
92600,22,0.0
93400,22,0.0
L-2449,22,0.0
L-2453,22,0.0
L-8399,22,0.0
08000,21,0.0
10178,21,0.0
1637,21,0.0
1940,21,0.0
20123,21,0.0
31000,21,0.0
3792,21,0.0
52152,21,0.0
53113,21,0.0
5353,21,0.0
5562,21,0.0
59400,21,0.0
60528,21,0.0
6340,21,0.0
6593,21,0.0
69100,21,0.0
6952,21,0.0
7533,21,0.0
7811,21,0.0
7823,21,0.0
8008,21,0.0
8389,21,0.0
84190,21,0.0
8824,21,0.0
92120,21,0.0
94200,21,0.0
L-1724,21,0.0
08320,20,0.0
1211,20,0.0
1214,20,0.0
2086,20,0.0
4751,20,0.0
52156,20,0.0
52525,20,0.0
53940,20,0.0
59140,20,0.0
62100,20,0.0
6781,20,0.0
6834,20,0.0
6853,20,0.0
76600,20,0.0
78180,20,0.0
8002,20,0.0
89800,20,0.0
9638,20,0.0
N228HH,20,0.0
1202,19,0.0
2633,19,0.0
4823,19,0.0
52072,19,0.0
5502,19,0.0
59960,19,0.0
63263,19,0.0
78140,19,0.0
78280,19,0.0
80333,19,0.0
93420,19,0.0
L-2163,19,0.0
00100,18,0.0
10110,18,0.0
1097JB,18,0.0
2,18,0.0
3717,18,0.0
42000,18,0.0
4740,18,0.0
47877,18,0.0
4791,18,0.0
4940,18,0.0
50858,18,0.0
52062,18,0.0
5326,18,0.0
5365,18,0.0
54597,18,0.0
5504,18,0.0
59777,18,0.0
60325,18,0.0
6463,18,0.0
8001,18,0.0
92700,18,0.0
999077,18,0.0
10179,17,0.0
10785,17,0.0
1101 BA,17,0.0
1260,17,0.0
1273,17,0.0
21000,17,0.0
33700,17,0.0
40212,17,0.0
52064,17,0.0
52249,17,0.0
57000,17,0.0
59220,17,0.0
59420,17,0.0
59880,17,0.0
60329,17,0.0
6591,17,0.0
6721,17,0.0
69009,17,0.0
69800,17,0.0
7642,17,0.0
8030,17,0.0
94150,17,0.0
95100,17,0.0
EC1V 2NX,17,0.0
F-75008,17,0.0
10115,16,0.0
1014 BA,16,0.0
10719,16,0.0
1097 JB,16,0.0
11000,16,0.0
1101CM,16,0.0
1118,16,0.0
19810,16,0.0
2132 WT,16,0.0
2146,16,0.0
2311,16,0.0
33000,16,0.0
59126,16,0.0
59310,16,0.0
59770,16,0.0
6222PH,16,0.0
67400,16,0.0
7943,16,0.0
91300,16,0.0
91940,16,0.0
9809,16,0.0
L-1882,16,0.0
000000,15,0.0
00198,15,0.0
08110,15,0.0
1077XX,15,0.0
1083HJ,15,0.0
1215,15,0.0
1220,15,0.0
25000,15,0.0
2514JH,15,0.0
26000,15,0.0
28046,15,0.0
28100,15,0.0
35000,15,0.0
41460,15,0.0
4784,15,0.0
5145 RA,15,0.0
52134,15,0.0
5573,15,0.0
59270,15,0.0
59299,15,0.0
59560,15,0.0
59640,15,0.0
59790,15,0.0
6222 PH,15,0.0
69001,15,0.0
69120,15,0.0
7643,15,0.0
92160,15,0.0
93210,15,0.0
DE 19808,15,0.0
DN67UW,15,0.0
E83DL,15,0.0
L-1840,15,0.0
00187,14,0.0
10119,14,0.0
1077 ZX,14,0.0
1083HN,14,0.0
